Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
Wiki,mcrae-single,en,material-attributes,with,window,288,4,0.8784722222222222,0.021404215288086736
Wiki,mcrae-single,en,material-attributes,without,window,288,4,0.8888888888888888,0.03437324630767943
Wiki,mcrae-single,en,size-and-shape-attributes,with,window,466,4,0.8325613454645713,0.024465557333781054
Wiki,mcrae-single,en,size-and-shape-attributes,without,window,466,4,0.8347256685966363,0.016434730116859617
Wiki,mcrae-single,en,tactile-attributes,with,window,234,7,0.8162393162393163,0.04230553391714385
Wiki,mcrae-single,en,tactile-attributes,without,window,234,7,0.8247863247863246,0.042305533917143874
Wiki,norms-single,en,color-attributes,with,sentence,266,5,0.860997616615594,0.01851374066109961
Wiki,norms-single,en,color-attributes,without,sentence,266,5,0.860997616615594,0.01851374066109961
Wiki,norms-single,en,component-attributes,with,sentence,70,2,0.8997584541062801,0.021401020708537853
Wiki,norms-single,en,component-attributes,without,sentence,70,2,0.8997584541062801,0.021401020708537853
Wiki,norms-single,en,material-attributes,with,sentence,184,5,0.8915917503966156,0.039716748715634034
Wiki,norms-single,en,material-attributes,without,sentence,184,5,0.8698219636876433,0.03406848859126027
Wiki,norms-single,en,size-and-shape-attributes,with,sentence,484,4,0.8759936610178155,0.0451664233645667
Wiki,norms-single,en,size-and-shape-attributes,without,sentence,484,4,0.8616159292487794,0.017386454556407624
Wiki,norms-single,en,tactile-attributes,with,sentence,212,6,0.8349429912810195,0.023670920287285693
Wiki,norms-single,en,tactile-attributes,without,sentence,212,6,0.8209255533199196,0.034421535668293333
Wiki,norms-single,en,color-attributes,with,syntactic,266,5,0.8420582226762003,0.016360156239585248
Wiki,norms-single,en,color-attributes,without,syntactic,266,5,0.8271620701395982,0.02246425115301023
Wiki,norms-single,en,component-attributes,with,syntactic,70,2,0.8574879227053139,0.01707987394170402
Wiki,norms-single,en,component-attributes,without,syntactic,70,2,0.8429951690821257,0.019019342690849764
Wiki,norms-single,en,material-attributes,with,syntactic,184,5,0.8532522474881015,0.026793873563889223
Wiki,norms-single,en,material-attributes,without,syntactic,184,5,0.874845760620483,0.02838716157414275
Wiki,norms-single,en,size-and-shape-attributes,with,syntactic,484,4,0.8512128415510057,0.013681292618323428
Wiki,norms-single,en,size-and-shape-attributes,without,syntactic,484,4,0.853296015131764,0.003343679025624594
Wiki,norms-single,en,tactile-attributes,with,syntactic,212,6,0.8585513078470824,0.019505690621162423
Wiki,norms-single,en,tactile-attributes,without,syntactic,212,6,0.8442655935613682,0.020511299697987338
Wiki,norms-single,en,color-attributes,with,window,266,5,0.8497616615594143,0.0377800528841796
Wiki,norms-single,en,color-attributes,without,window,266,5,0.834652706843718,0.018563474593838572
Wiki,norms-single,en,component-attributes,with,window,70,2,0.8707729468599034,0.03698887157273804
Wiki,norms-single,en,component-attributes,without,window,70,2,0.7844202898550723,0.06404952728139025
Wiki,norms-single,en,material-attributes,with,window,184,5,0.8644456196016216,0.04565927997696381
Wiki,norms-single,en,material-attributes,without,window,184,5,0.8859509959457078,0.012531551268941503
Wiki,norms-single,en,size-and-shape-attributes,with,window,484,4,0.8409247757073844,0.016133429575653474
Wiki,norms-single,en,size-and-shape-attributes,without,window,484,4,0.838879942744677,0.014762626132283165
Wiki,norms-single,en,tactile-attributes,with,window,212,6,0.8161636485580148,0.02975343490440889
Wiki,norms-single,en,tactile-attributes,without,window,212,6,0.8350771294433267,0.052694363511211706
UMBC,mcrae-single,en,colour-attributes,with,sentence,276,6,0.8985507246376812,0.0285290140362746
UMBC,mcrae-single,en,colour-attributes,without,sentence,276,6,0.8804347826086957,0.06148754619013458
UMBC,mcrae-single,en,component-attributes,with,sentence,220,6,0.9000370233246945,0.023099310885291498
UMBC,mcrae-single,en,component-attributes,without,sentence,220,6,0.8817721831420461,0.023486396763603104
UMBC,mcrae-single,en,material-attributes,with,sentence,288,4,0.9305555555555557,0.021404215288086736
UMBC,mcrae-single,en,material-attributes,without,sentence,288,4,0.923611111111111,0.027340305118096573
UMBC,mcrae-single,en,size-and-shape-attributes,with,sentence,468,4,0.8846153846153846,0.022814269769297645
UMBC,mcrae-single,en,size-and-shape-attributes,without,sentence,468,4,0.8846153846153846,0.010467904883688805
UMBC,mcrae-single,en,tactile-attributes,with,sentence,234,7,0.8888888888888888,0.006043647702449155
UMBC,mcrae-single,en,tactile-attributes,without,sentence,234,7,0.8974358974358975,0.020935809767377606
UMBC,mcrae-single,en,colour-attributes,with,syntactic,276,6,0.8623188405797103,0.031167845170444342
UMBC,mcrae-single,en,colour-attributes,without,syntactic,276,6,0.8586956521739131,0.01774992567234186
UMBC,mcrae-single,en,component-attributes,with,syntactic,220,6,0.8954708132790324,0.02807649588070278
UMBC,mcrae-single,en,component-attributes,without,syntactic,220,6,0.8955942243613476,0.027452239780698405
UMBC,mcrae-single,en,material-attributes,with,syntactic,288,4,0.8958333333333334,0.02250257186947176
UMBC,mcrae-single,en,material-attributes,without,syntactic,288,4,0.8993055555555557,0.029869184955009148
UMBC,mcrae-single,en,size-and-shape-attributes,with,syntactic,468,4,0.8504273504273504,0.018381036895390255
UMBC,mcrae-single,en,size-and-shape-attributes,without,syntactic,468,4,0.8547008547008548,0.013171824792668754
UMBC,mcrae-single,en,tactile-attributes,with,syntactic,234,7,0.8632478632478632,0.006043647702449155
UMBC,mcrae-single,en,tactile-attributes,without,syntactic,234,7,0.8846153846153847,0.03140371465106641
UMBC,mcrae-single,en,colour-attributes,with,window,276,6,0.8804347826086957,0.02662488850851274
UMBC,mcrae-single,en,colour-attributes,without,window,276,6,0.8550724637681161,0.031167845170444262
UMBC,mcrae-single,en,component-attributes,with,window,220,6,0.8954091077378749,0.01323119906189803
UMBC,mcrae-single,en,component-attributes,without,window,220,6,0.8999753177835369,0.01721109023959578
UMBC,mcrae-single,en,material-attributes,with,window,288,4,0.9201388888888888,0.03540985773328324
UMBC,mcrae-single,en,material-attributes,without,window,288,4,0.9236111111111112,0.02986918495500915
UMBC,mcrae-single,en,size-and-shape-attributes,with,window,468,4,0.8482905982905983,0.010895340841010185
UMBC,mcrae-single,en,size-and-shape-attributes,without,window,468,4,0.8482905982905983,0.01838103689539025
UMBC,mcrae-single,en,tactile-attributes,with,window,234,7,0.8760683760683761,0.012087295404898257
UMBC,mcrae-single,en,tactile-attributes,without,window,234,7,0.8803418803418803,0.012087295404898257
UMBC,norms-single,en,color-attributes,with,sentence,266,5,0.85703949608444,0.019975041286844436
UMBC,norms-single,en,color-attributes,without,sentence,266,5,0.8609124957439565,0.004975021857746882
UMBC,norms-single,en,component-attributes,with,sentence,70,2,0.8013285024154589,0.08461435746177777
UMBC,norms-single,en,component-attributes,without,sentence,70,2,0.8164251207729468,0.10737251580141483
UMBC,norms-single,en,material-attributes,with,sentence,186,5,0.8387096774193549,0.05740364651629737
UMBC,norms-single,en,material-attributes,without,sentence,186,5,0.8548387096774194,0.034842691926924005
UMBC,norms-single,en,size-and-shape-attributes,with,sentence,484,4,0.8408992152953506,0.006094456684413942
UMBC,norms-single,en,size-and-shape-attributes,without,sentence,484,4,0.8698975027477444,0.022796591951408245
UMBC,norms-single,en,tactile-attributes,with,sentence,212,6,0.8725016767270288,0.031119041820780936
UMBC,norms-single,en,tactile-attributes,without,sentence,212,6,0.8444668008048289,0.02987413776572902
UMBC,norms-single,en,color-attributes,with,syntactic,266,5,0.8269067075246851,0.030620865632739334
UMBC,norms-single,en,color-attributes,without,syntactic,266,5,0.8306945863125638,0.025337153632064013
UMBC,norms-single,en,component-attributes,with,syntactic,70,2,0.8001207729468599,0.018729543984626593
UMBC,norms-single,en,component-attributes,without,syntactic,70,2,0.8013285024154589,0.06811101671301216
UMBC,norms-single,en,material-attributes,with,syntactic,186,5,0.8817204301075269,0.046249060575497956
UMBC,norms-single,en,material-attributes,without,syntactic,186,5,0.9086021505376345,0.04985816395427796
UMBC,norms-single,en,size-and-shape-attributes,with,syntactic,484,4,0.8698463819236766,0.008592025194877792
UMBC,norms-single,en,size-and-shape-attributes,without,syntactic,484,4,0.8615903688367457,0.010260969463742591
UMBC,norms-single,en,tactile-attributes,with,syntactic,212,6,0.8395036887994634,0.04402297185990795
UMBC,norms-single,en,tactile-attributes,without,syntactic,212,6,0.8633132126089872,0.032824679979117845
UMBC,norms-single,en,color-attributes,with,window,266,5,0.838100102145046,0.061976880160050665
UMBC,norms-single,en,color-attributes,without,window,266,5,0.8307371467483827,0.04888936362244474
UMBC,norms-single,en,component-attributes,with,window,70,2,0.8725845410628019,0.05721757770470855
UMBC,norms-single,en,component-attributes,without,window,70,2,0.7729468599033816,0.08311425378785146
UMBC,norms-single,en,material-attributes,with,window,186,5,0.8763440860215054,0.027414083406412795
UMBC,norms-single,en,material-attributes,without,window,186,5,0.8602150537634409,0.027414083406412795
UMBC,norms-single,en,size-and-shape-attributes,with,window,484,4,0.8781407356286582,0.017470097537712278
UMBC,norms-single,en,size-and-shape-attributes,without,window,484,4,0.8905886562891393,0.0333363877616086
UMBC,norms-single,en,tactile-attributes,with,window,212,6,0.8586183769282361,0.019159700845027834
UMBC,norms-single,en,tactile-attributes,without,window,212,6,0.8443326626425218,0.023023556392977717
Wiki,mcrae-single,es,colour-attributes,with,sentence,256,6,0.8399908800729593,0.03924012218669086
Wiki,mcrae-single,es,colour-attributes,without,sentence,256,6,0.8085271317829458,0.031238978534469806
Wiki,mcrae-single,es,component-attributes,with,sentence,198,6,0.8636363636363636,0.02142747821777415
Wiki,mcrae-single,es,component-attributes,without,sentence,198,6,0.8888888888888888,0.025752623806024146
Wiki,mcrae-single,es,material-attributes,with,sentence,118,3,0.7792735042735043,0.03398577994347882
Wiki,mcrae-single,es,material-attributes,without,sentence,118,3,0.7623931623931625,0.03384442713371515
Wiki,mcrae-single,es,size-and-shape-attributes,with,sentence,420,4,0.7928571428571427,0.05832118435198049
Wiki,mcrae-single,es,size-and-shape-attributes,without,sentence,420,4,0.7999999999999999,0.055634864026418714
Wiki,mcrae-single,es,tactile-attributes,with,sentence,198,6,0.7424242424242425,0.04460485286024161
Wiki,mcrae-single,es,tactile-attributes,without,sentence,198,6,0.7323232323232324,0.035712463696290296
Wiki,mcrae-single,es,colour-attributes,with,syntactic,256,6,0.8672138622891016,0.004772084068199194
Wiki,mcrae-single,es,colour-attributes,without,syntactic,256,6,0.8438668490652074,0.03574708940554184
Wiki,mcrae-single,es,component-attributes,with,syntactic,198,6,0.787878787878788,0.049484641268347083
Wiki,mcrae-single,es,component-attributes,without,syntactic,198,6,0.8181818181818182,0.04285495643554835
Wiki,mcrae-single,es,material-attributes,with,syntactic,118,3,0.7034188034188035,0.03149662525245867
Wiki,mcrae-single,es,material-attributes,without,syntactic,118,3,0.6696581196581196,0.017401088095301127
Wiki,mcrae-single,es,size-and-shape-attributes,with,syntactic,422,4,0.7866092536305302,0.03879083933008282
Wiki,mcrae-single,es,size-and-shape-attributes,without,syntactic,422,4,0.7795845997973657,0.020465180997758715
Wiki,mcrae-single,es,tactile-attributes,with,syntactic,198,6,0.7373737373737373,0.0285699709570322
Wiki,mcrae-single,es,tactile-attributes,without,syntactic,198,6,0.7474747474747474,0.05150524761204834
Wiki,mcrae-single,es,colour-attributes,with,window,256,6,0.8086183310533516,0.0578065624050386
Wiki,mcrae-single,es,colour-attributes,without,window,256,6,0.7811673506611948,0.028293756071660833
Wiki,mcrae-single,es,component-attributes,with,window,198,6,0.7828282828282829,0.0142849854785161
