Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
Wiki,norms-single,en,color-attributes,with,syntactic,133,5,0.43636363636363634,0.07855443270797402
Wiki,norms-single,en,color-attributes,without,syntactic,133,5,0.39898989898989895,0.08755018092605918
Wiki,norms-single,en,component-attributes,with,syntactic,35,2,0.914141414141414,0.003571246369629025
Wiki,norms-single,en,component-attributes,without,syntactic,35,2,0.914141414141414,0.003571246369629025
Wiki,norms-single,en,material-attributes,with,syntactic,92,5,0.8591397849462364,0.03909604077999539
Wiki,norms-single,en,material-attributes,without,syntactic,92,5,0.8591397849462364,0.03909604077999539
Wiki,norms-single,en,size-and-shape-attributes,with,syntactic,242,4,0.5907407407407408,0.045548138622470105
Wiki,norms-single,en,size-and-shape-attributes,without,syntactic,242,4,0.6071502057613168,0.06365016897782907
Wiki,norms-single,en,tactile-attributes,with,syntactic,106,6,0.6507936507936508,0.03674868858028643
Wiki,norms-single,en,tactile-attributes,without,syntactic,106,6,0.6698412698412698,0.01187827741832998
Wiki,norms-single,en,color-attributes,with,window,133,5,0.40639730639730637,0.09950506138546208
Wiki,norms-single,en,color-attributes,without,window,133,5,0.3910774410774411,0.06562591013594293
Wiki,norms-single,en,component-attributes,with,window,35,2,0.8863636363636364,0.03762541521654376
Wiki,norms-single,en,component-attributes,without,window,35,2,0.914141414141414,0.003571246369629025
Wiki,norms-single,en,material-attributes,with,window,92,5,0.8483870967741934,0.05378494193720346
Wiki,norms-single,en,material-attributes,without,window,92,5,0.8483870967741934,0.05378494193720346
Wiki,norms-single,en,size-and-shape-attributes,with,window,242,4,0.6238168724279834,0.039673068360418645
Wiki,norms-single,en,size-and-shape-attributes,without,window,242,4,0.5699588477366255,0.0504849553349189
Wiki,norms-single,en,tactile-attributes,with,window,106,6,0.6322751322751323,0.03805847726635861
Wiki,norms-single,en,tactile-attributes,without,window,106,6,0.6322751322751322,0.01897399055771544
UMBC,mcrae-single,en,colour-attributes,with,sentence,138,6,0.34782608695652173,0.08134037797334653
UMBC,mcrae-single,en,colour-attributes,without,sentence,138,6,0.34782608695652173,0.08874962836170934
UMBC,mcrae-single,en,component-attributes,with,sentence,110,6,0.8170670670670671,0.08740650521792799
UMBC,mcrae-single,en,component-attributes,without,sentence,110,6,0.8083083083083084,0.06186396749156267
UMBC,mcrae-single,en,material-attributes,with,sentence,144,4,0.6527777777777778,0.09672491859155637
UMBC,mcrae-single,en,material-attributes,without,sentence,144,4,0.6944444444444443,0.0803877562693765
UMBC,mcrae-single,en,size-and-shape-attributes,with,sentence,234,4,0.5726495726495726,0.0263436495853375
UMBC,mcrae-single,en,size-and-shape-attributes,without,sentence,234,4,0.5299145299145299,0.0060436477024491024
UMBC,mcrae-single,en,tactile-attributes,with,sentence,117,7,0.6068376068376068,0.06043647702449124
UMBC,mcrae-single,en,tactile-attributes,without,sentence,117,7,0.6153846153846153,0.0725237724293895
UMBC,mcrae-single,en,colour-attributes,with,syntactic,138,6,0.36231884057971014,0.07389883353033022
UMBC,mcrae-single,en,colour-attributes,without,syntactic,138,6,0.34782608695652173,0.046961889118897544
UMBC,mcrae-single,en,component-attributes,with,syntactic,110,6,0.8170670670670671,0.08740650521792799
UMBC,mcrae-single,en,component-attributes,without,syntactic,110,6,0.8080580580580582,0.08033695662129448
UMBC,mcrae-single,en,material-attributes,with,syntactic,144,4,0.6666666666666666,0.09001028747788692
UMBC,mcrae-single,en,material-attributes,without,syntactic,144,4,0.6805555555555555,0.07670389595268927
UMBC,mcrae-single,en,size-and-shape-attributes,with,syntactic,234,4,0.5427350427350427,0.03963084827134915
UMBC,mcrae-single,en,size-and-shape-attributes,without,syntactic,234,4,0.5811965811965812,0.03364960629919576
UMBC,mcrae-single,en,tactile-attributes,with,syntactic,117,7,0.6495726495726496,0.07352414758156096
UMBC,mcrae-single,en,tactile-attributes,without,syntactic,117,7,0.641025641025641,0.06280742930213278
